matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/multi/matrix.toml
  umem@null multi 1024:4096 t=1 rep=1  08:20:41
  umem-preload multi 1024:4096 t=1 rep=1  08:20:57
  umem-preload@null multi 1024:4096 t=1 rep=1  08:21:17
  jemalloc multi 1024:4096 t=1 rep=1  08:21:36
  tcmalloc multi 1024:4096 t=1 rep=1  08:21:50
  mimalloc multi 1024:4096 t=1 rep=1  08:22:04
  snmalloc multi 1024:4096 t=1 rep=1  08:22:19
  scudo multi 1024:4096 t=1 rep=1  08:22:33
  rpmalloc multi 1024:4096 t=1 rep=1  08:22:49
  libc multi 1024:4096 t=1 rep=2  08:23:03
  umem multi 1024:4096 t=1 rep=2  08:23:21
  umem@null multi 1024:4096 t=1 rep=2  08:23:37
  umem-preload multi 1024:4096 t=1 rep=2  08:23:54
  umem-preload@null multi 1024:4096 t=1 rep=2  08:24:14
  jemalloc multi 1024:4096 t=1 rep=2  08:24:33
  tcmalloc multi 1024:4096 t=1 rep=2  08:24:47
  mimalloc multi 1024:4096 t=1 rep=2  08:25:01
  snmalloc multi 1024:4096 t=1 rep=2  08:25:15
  scudo multi 1024:4096 t=1 rep=2  08:25:29
  rpmalloc multi 1024:4096 t=1 rep=2  08:25:45
  libc multi 1024:4096 t=2 rep=1  08:26:00
  umem multi 1024:4096 t=2 rep=1  08:26:09
  umem@null multi 1024:4096 t=2 rep=1  08:26:18
  umem-preload multi 1024:4096 t=2 rep=1  08:26:27
  umem-preload@null multi 1024:4096 t=2 rep=1  08:26:38
  jemalloc multi 1024:4096 t=2 rep=1  08:26:49
  tcmalloc multi 1024:4096 t=2 rep=1  08:26:56
  mimalloc multi 1024:4096 t=2 rep=1  08:27:03
  snmalloc multi 1024:4096 t=2 rep=1  08:27:11
  scudo multi 1024:4096 t=2 rep=1  08:27:18
  rpmalloc multi 1024:4096 t=2 rep=1  08:27:27
  libc multi 1024:4096 t=2 rep=2  08:27:35
  umem multi 1024:4096 t=2 rep=2  08:27:44
  umem@null multi 1024:4096 t=2 rep=2  08:27:52
  umem-preload multi 1024:4096 t=2 rep=2  08:28:01
  umem-preload@null multi 1024:4096 t=2 rep=2  08:28:13
  jemalloc multi 1024:4096 t=2 rep=2  08:28:24
  tcmalloc multi 1024:4096 t=2 rep=2  08:28:31
  mimalloc multi 1024:4096 t=2 rep=2  08:28:38
  snmalloc multi 1024:4096 t=2 rep=2  08:28:45
  scudo multi 1024:4096 t=2 rep=2  08:28:53
  rpmalloc multi 1024:4096 t=2 rep=2  08:29:01
  libc multi 1024:4096 t=4 rep=1  08:29:09
  umem multi 1024:4096 t=4 rep=1  08:29:14
  umem@null multi 1024:4096 t=4 rep=1  08:29:19
  umem-preload multi 1024:4096 t=4 rep=1  08:29:24
  umem-preload@null multi 1024:4096 t=4 rep=1  08:29:30
  jemalloc multi 1024:4096 t=4 rep=1  08:29:36
  tcmalloc multi 1024:4096 t=4 rep=1  08:29:40
  mimalloc multi 1024:4096 t=4 rep=1  08:29:44
  snmalloc multi 1024:4096 t=4 rep=1  08:29:48
  scudo multi 1024:4096 t=4 rep=1  08:29:52
  rpmalloc multi 1024:4096 t=4 rep=1  08:29:56
  libc multi 1024:4096 t=4 rep=2  08:30:01
  umem multi 1024:4096 t=4 rep=2  08:30:06
  umem@null multi 1024:4096 t=4 rep=2  08:30:11
  umem-preload multi 1024:4096 t=4 rep=2  08:30:16
  umem-preload@null multi 1024:4096 t=4 rep=2  08:30:22
  jemalloc multi 1024:4096 t=4 rep=2  08:30:28
  tcmalloc multi 1024:4096 t=4 rep=2  08:30:32
  mimalloc multi 1024:4096 t=4 rep=2  08:30:36
  snmalloc multi 1024:4096 t=4 rep=2  08:30:41
  scudo multi 1024:4096 t=4 rep=2  08:30:45
  rpmalloc multi 1024:4096 t=4 rep=2  08:30:49
  libc multi 1024:4096 t=8 rep=1  08:30:54
  umem multi 1024:4096 t=8 rep=1  08:30:56
  umem@null multi 1024:4096 t=8 rep=1  08:30:59
  umem-preload multi 1024:4096 t=8 rep=1  08:31:01
  umem-preload@null multi 1024:4096 t=8 rep=1  08:31:04
  jemalloc multi 1024:4096 t=8 rep=1  08:31:08
  tcmalloc multi 1024:4096 t=8 rep=1  08:31:10
  mimalloc multi 1024:4096 t=8 rep=1  08:31:12
  snmalloc multi 1024:4096 t=8 rep=1  08:31:14
  scudo multi 1024:4096 t=8 rep=1  08:31:16
  rpmalloc multi 1024:4096 t=8 rep=1  08:31:19
  libc multi 1024:4096 t=8 rep=2  08:31:21
  umem multi 1024:4096 t=8 rep=2  08:31:23
  umem@null multi 1024:4096 t=8 rep=2  08:31:26
  umem-preload multi 1024:4096 t=8 rep=2  08:31:28
  umem-preload@null multi 1024:4096 t=8 rep=2  08:31:31
  jemalloc multi 1024:4096 t=8 rep=2  08:31:34
  tcmalloc multi 1024:4096 t=8 rep=2  08:31:37
  mimalloc multi 1024:4096 t=8 rep=2  08:31:39
  snmalloc multi 1024:4096 t=8 rep=2  08:31:41
  scudo multi 1024:4096 t=8 rep=2  08:31:43
  rpmalloc multi 1024:4096 t=8 rep=2  08:31:45
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/multi/matrix.toml
