matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag/matrix.toml
  jemalloc frag 64:256 t=1 rep=2  15:02:38
  tcmalloc frag 64:256 t=1 rep=2  15:03:05
  mimalloc frag 64:256 t=1 rep=2  15:03:39
  snmalloc frag 64:256 t=1 rep=2  15:04:11
  scudo frag 64:256 t=1 rep=2  15:04:42
  rpmalloc frag 64:256 t=1 rep=2  15:05:25
  libc frag 64:256 t=8 rep=1  15:05:59
  umem frag 64:256 t=8 rep=1  15:06:09
  umem@null frag 64:256 t=8 rep=1  15:06:29
  umem-preload frag 64:256 t=8 rep=1  15:06:48
  umem-preload@null frag 64:256 t=8 rep=1  15:07:09
  jemalloc frag 64:256 t=8 rep=1  15:07:29
  tcmalloc frag 64:256 t=8 rep=1  15:07:36
  mimalloc frag 64:256 t=8 rep=1  15:07:43
  snmalloc frag 64:256 t=8 rep=1  15:07:49
  scudo frag 64:256 t=8 rep=1  15:07:55
  rpmalloc frag 64:256 t=8 rep=1  15:08:03
  libc frag 64:256 t=8 rep=2  15:08:10
  umem frag 64:256 t=8 rep=2  15:08:20
  umem@null frag 64:256 t=8 rep=2  15:08:40
  umem-preload frag 64:256 t=8 rep=2  15:09:01
  umem-preload@null frag 64:256 t=8 rep=2  15:09:21
  jemalloc frag 64:256 t=8 rep=2  15:09:41
  tcmalloc frag 64:256 t=8 rep=2  15:09:49
  mimalloc frag 64:256 t=8 rep=2  15:09:56
  snmalloc frag 64:256 t=8 rep=2  15:10:03
  scudo frag 64:256 t=8 rep=2  15:10:10
  rpmalloc frag 64:256 t=8 rep=2  15:10:18
  libc frag 64:256 t=32 rep=1  15:10:25
  umem frag 64:256 t=32 rep=1  15:10:32
  umem@null frag 64:256 t=32 rep=1  15:10:42
  umem-preload frag 64:256 t=32 rep=1  15:10:52
  umem-preload@null frag 64:256 t=32 rep=1  15:11:02
  jemalloc frag 64:256 t=32 rep=1  15:11:11
  tcmalloc frag 64:256 t=32 rep=1  15:11:18
  mimalloc frag 64:256 t=32 rep=1  15:11:24
  snmalloc frag 64:256 t=32 rep=1  15:11:30
  scudo frag 64:256 t=32 rep=1  15:11:36
  rpmalloc frag 64:256 t=32 rep=1  15:11:43
