arm,label,replicate,allocator,workload,threads,total_ops,ops_per_thread,elapsed_sec,ops_per_sec,lat_min,lat_p50,lat_p90,lat_p99,lat_p999,lat_max,lat_mean,rss_at_live_peak,vmhwm_bytes,allocated_bytes,live_bytes_at_peak,live_bytes_median,frag,frag_median,frag_samples,cpu_user_ms,cpu_sys_ms,ops_cov,runs,unstable,ops_floor_raised,alloc_failures
pre,preload-multi-64-16:64,2,umem-preload,multi-thread,64,20000000,312500,18.726332,1068014.80,17,26,66,456,779,408061,46,11038720,11038720,790072016,0,0,,,0,29565.8,1128784.9,0.0035,3,0,0,0
post,preload-multi-64-16:64,2,umem-preload,multi-thread,64,20000000,312500,0.125841,158930716.68,18,24,25,28,78,15871019,37,11046912,11046912,790072016,0,0,,,0,4178.3,0.0,0.0543,3,0,0,0
pre,preload-multi-64-16:64,3,umem-preload,multi-thread,64,20000000,312500,18.765853,1065765.58,17,27,84,540,828,1077043,53,11026432,11026432,790072016,0,0,,,0,28245.9,1139604.6,0.0022,3,0,0,0
post,preload-multi-64-16:64,3,umem-preload,multi-thread,64,20000000,312500,0.133878,149389539.81,18,24,25,30,106,63789572,59,11042816,11042816,790072016,0,0,,,0,4196.1,21.4,0.0492,3,0,0,0
pre,preload-multi-128-16:64,1,umem-preload,multi-thread,128,20000000,156250,22.845591,875442.43,18,31,60,472,789,1576988,49,12599296,12599296,790052932,0,0,,,0,34765.9,2836279.8,0.0018,3,0,0,0
post,preload-multi-128-16:64,1,umem-preload,multi-thread,128,20000000,156250,0.086450,231346826.38,18,32,41,108,156,51592273,54,12611584,12611584,790052932,0,0,,,0,4660.8,11.7,0.0678,3,0,0,0
pre,preload-multi-128-16:64,2,umem-preload,multi-thread,128,20000000,156250,22.682792,881725.66,18,31,48,362,694,854409,44,12611584,12611584,790052932,0,0,,,0,36591.7,2811771.6,0.0009,3,0,0,0
post,preload-multi-128-16:64,2,umem-preload,multi-thread,128,20000000,156250,0.080276,249141017.83,18,31,40,109,189,33175515,61,12611584,12611584,790052932,0,0,,,0,4637.2,25.8,0.0165,3,0,0,0
pre,preload-multi-128-16:64,3,umem-preload,multi-thread,128,20000000,156250,22.014458,908493.87,18,31,48,354,693,185958,43,12611584,12611584,790052932,0,0,,,0,33927.0,2718729.2,0.0015,3,0,0,0
post,preload-multi-128-16:64,3,umem-preload,multi-thread,128,20000000,156250,0.087214,229321677.37,18,31,40,101,125,46793435,118,12615680,12615680,790052932,0,0,,,0,4556.0,20.6,0.0632,3,0,0,0
