matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/multi/matrix.toml
  rpmalloc multi 256:1024 t=4 rep=2  08:29:24
  libc multi 256:1024 t=8 rep=1  08:29:29
  umem multi 256:1024 t=8 rep=1  08:29:31
  umem@null multi 256:1024 t=8 rep=1  08:29:34
  umem-preload multi 256:1024 t=8 rep=1  08:29:37
  umem-preload@null multi 256:1024 t=8 rep=1  08:29:41
  jemalloc multi 256:1024 t=8 rep=1  08:29:44
  tcmalloc multi 256:1024 t=8 rep=1  08:29:46
  mimalloc multi 256:1024 t=8 rep=1  08:29:49
  snmalloc multi 256:1024 t=8 rep=1  08:29:52
  scudo multi 256:1024 t=8 rep=1  08:29:54
  rpmalloc multi 256:1024 t=8 rep=1  08:29:57
  libc multi 256:1024 t=8 rep=2  08:30:00
  umem multi 256:1024 t=8 rep=2  08:30:03
  umem@null multi 256:1024 t=8 rep=2  08:30:06
  umem-preload multi 256:1024 t=8 rep=2  08:30:09
  umem-preload@null multi 256:1024 t=8 rep=2  08:30:13
  jemalloc multi 256:1024 t=8 rep=2  08:30:16
  tcmalloc multi 256:1024 t=8 rep=2  08:30:19
  mimalloc multi 256:1024 t=8 rep=2  08:30:22
  snmalloc multi 256:1024 t=8 rep=2  08:30:24
  scudo multi 256:1024 t=8 rep=2  08:30:27
  rpmalloc multi 256:1024 t=8 rep=2  08:30:30
  libc multi 1024:4096 t=1 rep=1  08:30:33
  umem multi 1024:4096 t=1 rep=1  08:30:50
  umem@null multi 1024:4096 t=1 rep=1  08:31:06
  umem-preload multi 1024:4096 t=1 rep=1  08:31:23
  umem-preload@null multi 1024:4096 t=1 rep=1  08:31:40
  jemalloc multi 1024:4096 t=1 rep=1  08:31:57
  tcmalloc multi 1024:4096 t=1 rep=1  08:32:15
  mimalloc multi 1024:4096 t=1 rep=1  08:32:30
  snmalloc multi 1024:4096 t=1 rep=1  08:32:44
  scudo multi 1024:4096 t=1 rep=1  08:32:59
  rpmalloc multi 1024:4096 t=1 rep=1  08:33:19
  libc multi 1024:4096 t=1 rep=2  08:33:34
  umem multi 1024:4096 t=1 rep=2  08:33:50
  umem@null multi 1024:4096 t=1 rep=2  08:34:07
  umem-preload multi 1024:4096 t=1 rep=2  08:34:23
  umem-preload@null multi 1024:4096 t=1 rep=2  08:34:40
  jemalloc multi 1024:4096 t=1 rep=2  08:34:58
  tcmalloc multi 1024:4096 t=1 rep=2  08:35:15
  mimalloc multi 1024:4096 t=1 rep=2  08:35:30
  snmalloc multi 1024:4096 t=1 rep=2  08:35:45
  scudo multi 1024:4096 t=1 rep=2  08:36:00
  rpmalloc multi 1024:4096 t=1 rep=2  08:36:20
  libc multi 1024:4096 t=2 rep=1  08:36:35
  umem multi 1024:4096 t=2 rep=1  08:36:45
  umem@null multi 1024:4096 t=2 rep=1  08:36:56
  umem-preload multi 1024:4096 t=2 rep=1  08:37:07
  umem-preload@null multi 1024:4096 t=2 rep=1  08:37:21
  jemalloc multi 1024:4096 t=2 rep=1  08:37:38
  tcmalloc multi 1024:4096 t=2 rep=1  08:37:47
  mimalloc multi 1024:4096 t=2 rep=1  08:37:57
  snmalloc multi 1024:4096 t=2 rep=1  08:38:07
  scudo multi 1024:4096 t=2 rep=1  08:38:16
  rpmalloc multi 1024:4096 t=2 rep=1  08:38:28
  libc multi 1024:4096 t=2 rep=2  08:38:36
  umem multi 1024:4096 t=2 rep=2  08:38:47
  umem@null multi 1024:4096 t=2 rep=2  08:38:58
  umem-preload multi 1024:4096 t=2 rep=2  08:39:11
  umem-preload@null multi 1024:4096 t=2 rep=2  08:39:26
  jemalloc multi 1024:4096 t=2 rep=2  08:39:41
  tcmalloc multi 1024:4096 t=2 rep=2  08:39:50
  mimalloc multi 1024:4096 t=2 rep=2  08:40:00
  snmalloc multi 1024:4096 t=2 rep=2  08:40:10
  scudo multi 1024:4096 t=2 rep=2  08:40:18
  rpmalloc multi 1024:4096 t=2 rep=2  08:40:29
  libc multi 1024:4096 t=4 rep=1  08:40:38
  umem multi 1024:4096 t=4 rep=1  08:40:44
  umem@null multi 1024:4096 t=4 rep=1  08:40:52
  umem-preload multi 1024:4096 t=4 rep=1  08:41:01
  umem-preload@null multi 1024:4096 t=4 rep=1  08:41:11
  jemalloc multi 1024:4096 t=4 rep=1  08:41:20
  tcmalloc multi 1024:4096 t=4 rep=1  08:41:25
  mimalloc multi 1024:4096 t=4 rep=1  08:41:30
  snmalloc multi 1024:4096 t=4 rep=1  08:41:36
  scudo multi 1024:4096 t=4 rep=1  08:41:40
  rpmalloc multi 1024:4096 t=4 rep=1  08:41:47
  libc multi 1024:4096 t=4 rep=2  08:41:51
  umem multi 1024:4096 t=4 rep=2  08:41:57
  umem@null multi 1024:4096 t=4 rep=2  08:42:06
  umem-preload multi 1024:4096 t=4 rep=2  08:42:15
  umem-preload@null multi 1024:4096 t=4 rep=2  08:42:25
  jemalloc multi 1024:4096 t=4 rep=2  08:42:34
  tcmalloc multi 1024:4096 t=4 rep=2  08:42:39
  mimalloc multi 1024:4096 t=4 rep=2  08:42:45
  snmalloc multi 1024:4096 t=4 rep=2  08:42:50
  scudo multi 1024:4096 t=4 rep=2  08:42:54
  rpmalloc multi 1024:4096 t=4 rep=2  08:43:01
  libc multi 1024:4096 t=8 rep=1  08:43:05
  umem multi 1024:4096 t=8 rep=1  08:43:09
  umem@null multi 1024:4096 t=8 rep=1  08:43:14
  umem-preload multi 1024:4096 t=8 rep=1  08:43:19
  umem-preload@null multi 1024:4096 t=8 rep=1  08:43:24
  jemalloc multi 1024:4096 t=8 rep=1  08:43:30
  tcmalloc multi 1024:4096 t=8 rep=1  08:43:32
  mimalloc multi 1024:4096 t=8 rep=1  08:43:35
  snmalloc multi 1024:4096 t=8 rep=1  08:43:39
  scudo multi 1024:4096 t=8 rep=1  08:43:42
  rpmalloc multi 1024:4096 t=8 rep=1  08:43:45
  libc multi 1024:4096 t=8 rep=2  08:43:48
  umem multi 1024:4096 t=8 rep=2  08:43:52
  umem@null multi 1024:4096 t=8 rep=2  08:43:56
  umem-preload multi 1024:4096 t=8 rep=2  08:44:01
  umem-preload@null multi 1024:4096 t=8 rep=2  08:44:06
  jemalloc multi 1024:4096 t=8 rep=2  08:44:11
  tcmalloc multi 1024:4096 t=8 rep=2  08:44:14
  mimalloc multi 1024:4096 t=8 rep=2  08:44:17
  snmalloc multi 1024:4096 t=8 rep=2  08:44:21
  scudo multi 1024:4096 t=8 rep=2  08:44:24
  rpmalloc multi 1024:4096 t=8 rep=2  08:44:27
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/multi/matrix.toml
