matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
  umem-preload frag 64:256 t=1 rep=1  15:41:21
  umem-preload@null frag 64:256 t=1 rep=1  15:42:25
  jemalloc frag 64:256 t=1 rep=1  15:43:28
  tcmalloc frag 64:256 t=1 rep=1  15:43:53
  mimalloc frag 64:256 t=1 rep=1  15:44:30
  snmalloc frag 64:256 t=1 rep=1  15:45:05
  scudo frag 64:256 t=1 rep=1  15:45:37
  rpmalloc frag 64:256 t=1 rep=1  15:46:25
  libc frag 64:256 t=1 rep=2  15:47:01
  umem frag 64:256 t=1 rep=2  15:48:00
  umem@null frag 64:256 t=1 rep=2  15:49:02
  umem-preload frag 64:256 t=1 rep=2  15:50:03
  umem-preload@null frag 64:256 t=1 rep=2  15:51:07
  jemalloc frag 64:256 t=1 rep=2  15:52:10
  tcmalloc frag 64:256 t=1 rep=2  15:52:35
  mimalloc frag 64:256 t=1 rep=2  15:53:12
  snmalloc frag 64:256 t=1 rep=2  15:53:49
  scudo frag 64:256 t=1 rep=2  15:54:21
  rpmalloc frag 64:256 t=1 rep=2  15:55:09
  libc frag 64:256 t=8 rep=1  15:55:45
  umem frag 64:256 t=8 rep=1  15:55:55
  umem@null frag 64:256 t=8 rep=1  15:56:12
  umem-preload frag 64:256 t=8 rep=1  15:56:30
  umem-preload@null frag 64:256 t=8 rep=1  15:56:47
  jemalloc frag 64:256 t=8 rep=1  15:57:03
  tcmalloc frag 64:256 t=8 rep=1  15:57:11
  mimalloc frag 64:256 t=8 rep=1  15:57:22
  snmalloc frag 64:256 t=8 rep=1  15:57:32
  scudo frag 64:256 t=8 rep=1  15:57:42
  rpmalloc frag 64:256 t=8 rep=1  15:57:52
  libc frag 64:256 t=8 rep=2  15:58:04
  umem frag 64:256 t=8 rep=2  15:58:14
  umem@null frag 64:256 t=8 rep=2  15:58:32
  umem-preload frag 64:256 t=8 rep=2  15:58:51
  umem-preload@null frag 64:256 t=8 rep=2  15:59:09
  jemalloc frag 64:256 t=8 rep=2  15:59:27
  tcmalloc frag 64:256 t=8 rep=2  15:59:37
  mimalloc frag 64:256 t=8 rep=2  15:59:47
  snmalloc frag 64:256 t=8 rep=2  15:59:59
  scudo frag 64:256 t=8 rep=2  16:00:08
  rpmalloc frag 64:256 t=8 rep=2  16:00:19
  libc frag 64:256 t=32 rep=1  16:00:28
  umem frag 64:256 t=32 rep=1  16:00:37
